sequenceID	species	genotype	subtype
KF012534	SRLV	A	A3
KF012535	SRLV	A	A3
KF012536	SRLV	A	A3
KF012537	SRLV	A	A3
KF012538	SRLV	A	A3
KF012539	SRLV	A	A3
KF012540	SRLV	A	A3
KF012541	SRLV	A	A3
KF012542	SRLV	A	A3
KF012543	SRLV	A	A3
KF012544	SRLV	A	A3
KF012545	SRLV	A	A3
KF012546	SRLV	A	A3
KF012547	SRLV	A	A3
KF012548	SRLV	A	A3
KF012549	SRLV	A	A3
KF012550	SRLV	A	A3
KF012551	SRLV	A	A3
KF012552	SRLV	A	A3
KF012553	SRLV	A	A3
KF012554	SRLV	A	A3
KF012555	SRLV	A	A3
KF012556	SRLV	A	A3
KF012557	SRLV	A	A3
KF012558	SRLV	A	A3
KF012559	SRLV	A	A3
KF012560	SRLV	A	A3
KF012561	SRLV	A	A3
KF012562	SRLV	A	A3
KF012563	SRLV	A	A3
KF012564	SRLV	A	A3
KF012565	SRLV	A	A3
KF012566	SRLV	A	A3
KF012567	SRLV	A	A3
KF012568	SRLV	A	A3
KF012569	SRLV	A	A3
KF012570	SRLV	A	A3
KF012571	SRLV	A	A3
KF012572	SRLV	A	A3
KF012573	SRLV	A	A3
KF012574	SRLV	A	A3
KF012575	SRLV	A	A3
KF012576	SRLV	A	A3
KF012577	SRLV	A	A3
KF012578	SRLV	A	A3
KF012579	SRLV	A	A3
KF012580	SRLV	A	A3
KF012581	SRLV	A	A3
KF012582	SRLV	A	A3
KF012583	SRLV	A	A3
KF012584	SRLV	A	A3
KF012585	SRLV	A	A3
KF012586	SRLV	A	A3
KF012587	SRLV	A	A3
KF012588	SRLV	A	A3
KF012589	SRLV	A	A3
KF012590	SRLV	A	A3
KF012591	SRLV	A	A3
KF012592	SRLV	A	A3
KF012593	SRLV	A	A3
KF012594	SRLV	A	A3
KF012595	SRLV	A	A3
KF012596	SRLV	A	A3
KF012597	SRLV	A	A3
KF012598	SRLV	A	A3
KF012599	SRLV	A	A3
KF012600	SRLV	A	A3
KF012601	SRLV	A	A3
KF012602	SRLV	A	A3
KF012603	SRLV	A	A3
KF012604	SRLV	A	A3
KF012605	SRLV	A	A3
KF012606	SRLV	A	A3
KF012607	SRLV	A	A3
KF012608	SRLV	A	A3
KF012609	SRLV	A	A3
KF012610	SRLV	A	A3
KF012611	SRLV	A	A3
KF012612	SRLV	A	A3
KF012613	SRLV	A	A3
KF012614	SRLV	A	A3
KF012615	SRLV	A	A3
KF012616	SRLV	A	A3
KF012617	SRLV	A	A3
KF012618	SRLV	A	A3
KF012619	SRLV	A	A3
KF012620	SRLV	A	A3
KF012621	SRLV	A	A3
KF012622	SRLV	A	A3
KF012623	SRLV	A	A3
KF012624	SRLV	A	A3
KF012625	SRLV	A	A3
KF012626	SRLV	A	A3
KF012627	SRLV	A	A3
KF012628	SRLV	A	A3
KF012629	SRLV	A	A3
KF012630	SRLV	A	A3
KF012631	SRLV	A	A3
KF012632	SRLV	A	A3
KF012633	SRLV	A	A3
KF012634	SRLV	A	A3
KF024749	SRLV	A	A3
KF024750	SRLV	A	A3
KF024751	SRLV	A	A3
KF024752	SRLV	A	A3
KF024753	SRLV	A	A3
KF024754	SRLV	A	A3
KF024755	SRLV	A	A3
KF024756	SRLV	A	A3
KF024757	SRLV	A	A3
KF024758	SRLV	A	A3
KF024759	SRLV	A	A3
KF024760	SRLV	A	A3
KF024761	SRLV	A	A3
KF024762	SRLV	A	A3
KF024763	SRLV	A	A3
KF024764	SRLV	A	A3
KF024765	SRLV	A	A3
KF024766	SRLV	A	A3
KF024767	SRLV	A	A3
KF024768	SRLV	A	A3
KF024769	SRLV	A	A3
KF024770	SRLV	A	A3
KF024771	SRLV	A	A3
KF024772	SRLV	A	A3
KF024773	SRLV	A	A3
KF024774	SRLV	A	A3
KF024775	SRLV	A	A3
KF024776	SRLV	A	A3
KF024777	SRLV	A	A3
KF024778	SRLV	A	A3
KF024779	SRLV	A	A3
KF024780	SRLV	A	A3
KF024781	SRLV	A	A3
KF024782	SRLV	A	A3
KF024783	SRLV	A	A3
KF024784	SRLV	A	A3
KF024785	SRLV	A	A3
KF024786	SRLV	A	A3
KF024787	SRLV	A	A3
KF024788	SRLV	A	A3
KF024789	SRLV	A	A3
KF024790	SRLV	A	A3
KF024791	SRLV	A	A3
KF024792	SRLV	A	A3
KF024793	SRLV	A	A3
KF024794	SRLV	A	A3
KF024795	SRLV	A	A3
KF024796	SRLV	A	A3
KF024797	SRLV	A	A3
KF024798	SRLV	A	A3
KF024799	SRLV	A	A3
KF024800	SRLV	A	A3
KF024801	SRLV	A	A3
KF024802	SRLV	A	A3
KF024803	SRLV	A	A3
KF024804	SRLV	A	A3
KF024805	SRLV	A	A3
KF024806	SRLV	A	A3
KF024807	SRLV	A	A3
KF024808	SRLV	A	A3
KF024809	SRLV	A	A3
KF024810	SRLV	A	A3
KF024811	SRLV	A	A3
KF024812	SRLV	A	A3
KF024813	SRLV	A	A3
KF024814	SRLV	A	A3
KF024815	SRLV	A	A3
KF024816	SRLV	A	A3
KF024817	SRLV	A	A3
KF024818	SRLV	A	A3
KF024819	SRLV	A	A3
KF024820	SRLV	A	A3
KF024821	SRLV	A	A3
KF024822	SRLV	A	A3
KF024823	SRLV	A	A3
KF024824	SRLV	A	A3
KF024825	SRLV	A	A3
KF024826	SRLV	A	A3
KF024827	SRLV	A	A3
KF024828	SRLV	A	A3
KF024829	SRLV	A	A3
KF024830	SRLV	A	A3
KF024831	SRLV	A	A3
KF024832	SRLV	A	A3
KF024833	SRLV	A	A3
KF024834	SRLV	A	A3
KF024835	SRLV	A	A3
KF024836	SRLV	A	A3
KF024837	SRLV	A	A3
KF024838	SRLV	A	A3
KF024839	SRLV	A	A3
KF024840	SRLV	A	A3
KF024841	SRLV	A	A3
KF024842	SRLV	A	A3
KF024843	SRLV	A	A3
KF024844	SRLV	A	A3
KF024845	SRLV	A	A3
KF024846	SRLV	A	A3
KF024847	SRLV	A	A3
KF024848	SRLV	A	A3
KF024849	SRLV	A	A3
KF024850	SRLV	A	A3
KF024851	SRLV	A	A3
KF024852	SRLV	A	A3
KF024853	SRLV	A	A3
KF024854	SRLV	A	A3
KF024855	SRLV	A	A3
KF024856	SRLV	A	A3
KF024857	SRLV	A	A3
KF024858	SRLV	A	A3
KF024859	SRLV	A	A3
KF024860	SRLV	A	A3
KF024861	SRLV	A	A3
KF024862	SRLV	A	A3
KF024863	SRLV	A	A3
KF024864	SRLV	A	A3
KF024865	SRLV	A	A3
KF024866	SRLV	A	A3
KF024867	SRLV	A	A3
KF024868	SRLV	A	A3
KF024869	SRLV	A	A3
KF024870	SRLV	A	A3
KF024871	SRLV	A	A3
KF024872	SRLV	A	A3
KF024873	SRLV	A	A3
KF024874	SRLV	A	A3
KF024875	SRLV	A	A3
KF024876	SRLV	A	A3
KF024877	SRLV	A	A3
KF024878	SRLV	A	A3
KF024879	SRLV	A	A3
KF024880	SRLV	A	A3
KF024881	SRLV	A	A3
KF024882	SRLV	A	A3
KF024883	SRLV	A	A3
KF024884	SRLV	A	A3
KF024885	SRLV	A	A3
KF024886	SRLV	A	A3
KF024887	SRLV	A	A3
KF024888	SRLV	A	A3
KF024889	SRLV	A	A3
KF024890	SRLV	A	A3
KF024891	SRLV	A	A3
KF024892	SRLV	A	A3
KF024893	SRLV	A	A3
KF024894	SRLV	A	A3
KF024895	SRLV	A	A3
KF024896	SRLV	A	A3
KF024897	SRLV	A	A3
KF024898	SRLV	A	A3
KF024899	SRLV	A	A3
KF024900	SRLV	A	A3
KF024901	SRLV	A	A3
KF024902	SRLV	A	A3
KF024903	SRLV	A	A3
KF024904	SRLV	A	A3
KF024905	SRLV	A	A3
KF024906	SRLV	A	A3
KF024907	SRLV	A	A3
KF024908	SRLV	A	A3
KF024909	SRLV	A	A3
KF024910	SRLV	A	A3
KF024911	SRLV	A	A3
KF024912	SRLV	A	A3
KF024913	SRLV	A	A3
KF024914	SRLV	A	A3
KF024915	SRLV	A	A3
KF024916	SRLV	A	A3
KF024917	SRLV	A	A3
KF024918	SRLV	A	A3
KF024919	SRLV	A	A3
KF024920	SRLV	A	A3
KF024921	SRLV	A	A3
KF024922	SRLV	A	A3
KF024923	SRLV	A	A3
KF024924	SRLV	A	A3
KF024925	SRLV	A	A3
KF024926	SRLV	A	A3
KF024927	SRLV	A	A3
KF024928	SRLV	A	A3
KF024929	SRLV	A	A3
KF024930	SRLV	A	A3
KF024931	SRLV	A	A3
KF024932	SRLV	A	A3
KF024933	SRLV	A	A3
KF024934	SRLV	A	A3
KF024935	SRLV	A	A3
KF024936	SRLV	A	A3
KF024937	SRLV	A	A3
KF024938	SRLV	A	A3
KF024939	SRLV	A	A3
KF024940	SRLV	A	A3
KF024941	SRLV	A	A3
KF024942	SRLV	A	A3
KF024943	SRLV	A	A3
KF024944	SRLV	A	A3
KF024945	SRLV	A	A3
KF024946	SRLV	A	A3
KF024947	SRLV	A	A3
KF024948	SRLV	A	A3
KF024949	SRLV	A	A3
KF024950	SRLV	A	A3
KF024951	SRLV	A	A3
KF024952	SRLV	A	A3
KF024953	SRLV	A	A3
KF024954	SRLV	A	A3
KF024955	SRLV	A	A3
KF024956	SRLV	A	A3
KF024957	SRLV	A	A3
KF024958	SRLV	A	A3
KF024959	SRLV	A	A3
KF024960	SRLV	A	A3
KF024961	SRLV	A	A3
KF024962	SRLV	A	A3
KF024963	SRLV	A	A3
KF024964	SRLV	A	A3
KF024965	SRLV	A	A3
KF024966	SRLV	A	A3
KF024967	SRLV	A	A3
KF024968	SRLV	A	A3
KF024969	SRLV	A	A3
KF024970	SRLV	A	A3
KF024971	SRLV	A	A3
KF024972	SRLV	A	A3
KF024973	SRLV	A	A3
KF024974	SRLV	A	A3
KF024975	SRLV	A	A3
KF024976	SRLV	A	A3
KF024977	SRLV	A	A3
KF024978	SRLV	A	A3
KF024979	SRLV	A	A3
KF024980	SRLV	A	A3
KF024981	SRLV	A	A3
KF024982	SRLV	A	A3
KF024983	SRLV	A	A3
KF024984	SRLV	A	A3
KF024985	SRLV	A	A3
KF024986	SRLV	A	A3
KF024987	SRLV	A	A3
KF024988	SRLV	A	A3
KF024989	SRLV	A	A3
KF024990	SRLV	A	A3
KF024991	SRLV	A	A3
KF024992	SRLV	A	A3
KF024993	SRLV	A	A3
KF024994	SRLV	A	A3
KF024995	SRLV	A	A3
KF024996	SRLV	A	A3
KF024997	SRLV	A	A3
KF024998	SRLV	A	A3
KF024999	SRLV	A	A3
KF025000	SRLV	A	A3
KF025001	SRLV	A	A3
KF025002	SRLV	A	A3
KF025003	SRLV	A	A3
KF025004	SRLV	A	A3
KF025005	SRLV	A	A3
KF025006	SRLV	A	A3
KF025007	SRLV	A	A3
KF025008	SRLV	A	A3
KF025009	SRLV	A	A3
KF025010	SRLV	A	A3
KF025011	SRLV	A	A3
KF025012	SRLV	A	A3
KF025013	SRLV	A	A3
KF025014	SRLV	A	A3
KF025015	SRLV	A	A3
KF025016	SRLV	A	A3
KF025017	SRLV	A	A3
KF025018	SRLV	A	A3
KF025019	SRLV	A	A3
KF025020	SRLV	A	A3
KF025021	SRLV	A	A3
KF025022	SRLV	A	A3
KF025023	SRLV	A	A3
KF025024	SRLV	A	A3
KF025025	SRLV	A	A3
KF025026	SRLV	A	A3
KF025027	SRLV	A	A3
KF025028	SRLV	A	A3
KF025029	SRLV	A	A3
KF025030	SRLV	A	A3
KF025031	SRLV	A	A3
KF025032	SRLV	A	A3
KF025033	SRLV	A	A3
KF025034	SRLV	A	A3
KF025035	SRLV	A	A3
KF025036	SRLV	A	A3
KF025037	SRLV	A	A3
KF025038	SRLV	A	A3
KF025039	SRLV	A	A3
KF025040	SRLV	A	A3
KF025041	SRLV	A	A3
KF025042	SRLV	A	A3
KF025043	SRLV	A	A3
KF025044	SRLV	A	A3
KF025045	SRLV	A	A3
KF025046	SRLV	A	A3
KF025047	SRLV	A	A3
KF025048	SRLV	A	A3
KF025049	SRLV	A	A3
KF025050	SRLV	A	A3
KF025051	SRLV	A	A3
KF025052	SRLV	A	A3
KF025053	SRLV	A	A3
KF025054	SRLV	A	A3
KF025055	SRLV	A	A3
KF025056	SRLV	A	A3
KF025057	SRLV	A	A3
KF025058	SRLV	A	A3
KF025059	SRLV	A	A3
KF025060	SRLV	A	A3
KF025061	SRLV	A	A3
KF025062	SRLV	A	A3
KF025063	SRLV	A	A3
KF025064	SRLV	A	A3
KF025065	SRLV	A	A3
KF025066	SRLV	A	A3
KF025067	SRLV	A	A3
KF025068	SRLV	A	A3
KF025069	SRLV	A	A3
KF025070	SRLV	A	A3
KF025071	SRLV	A	A3
KF025072	SRLV	A	A3
KF025073	SRLV	A	A3
KF025074	SRLV	A	A3
KF025075	SRLV	A	A3
KF025076	SRLV	A	A3
KF025077	SRLV	A	A3
KF025078	SRLV	A	A3
KF025079	SRLV	A	A3
KF025080	SRLV	A	A3
KF025081	SRLV	A	A3
KF025082	SRLV	A	A3
KF025083	SRLV	A	A3
KF025084	SRLV	A	A3
KF025085	SRLV	A	A3
KF025086	SRLV	A	A3
KF025087	SRLV	A	A3
KF025088	SRLV	A	A3
KF025089	SRLV	A	A3
KF025090	SRLV	A	A3
KF025091	SRLV	A	A3
KF025092	SRLV	A	A3
KF025093	SRLV	A	A3
KF025094	SRLV	A	A3
KF025095	SRLV	A	A3
KF025096	SRLV	A	A3
KF025097	SRLV	A	A3
KF025098	SRLV	A	A3
KF025099	SRLV	A	A3
KF025100	SRLV	A	A3
KF025101	SRLV	A	A3
KF025102	SRLV	A	A3
KF025103	SRLV	A	A3
KF025104	SRLV	A	A3
KF025105	SRLV	A	A3
KF025106	SRLV	A	A3
KF025107	SRLV	A	A3
KF025108	SRLV	A	A3
KF025109	SRLV	A	A3
KF025110	SRLV	A	A3
KF025111	SRLV	A	A3
KF025112	SRLV	A	A3
KF025113	SRLV	A	A3
KF025114	SRLV	A	A3
KF025115	SRLV	A	A3
KF025116	SRLV	A	A3
KF025117	SRLV	A	A3
KF025118	SRLV	A	A3
KF025119	SRLV	A	A3
KF025120	SRLV	A	A3
KF025121	SRLV	A	A3
KF025122	SRLV	A	A3
KF025123	SRLV	A	A3
KF025124	SRLV	A	A3
KF025125	SRLV	A	A3
KF025126	SRLV	A	A3
KF025127	SRLV	A	A3
KF025128	SRLV	A	A3
KF025129	SRLV	A	A3
KF025130	SRLV	A	A3
KF025131	SRLV	A	A3
KF025132	SRLV	A	A3
KF025133	SRLV	A	A3
KF025134	SRLV	A	A3
KF025135	SRLV	A	A3
KF025136	SRLV	A	A3
KF025137	SRLV	A	A3
KF025138	SRLV	A	A3
KF025139	SRLV	A	A3
KF025140	SRLV	A	A3
KF025141	SRLV	A	A3
KF025142	SRLV	A	A3
KF025143	SRLV	A	A3
KF025144	SRLV	A	A3
KF025145	SRLV	A	A3
KF025146	SRLV	A	A3
KF025147	SRLV	A	A3
KF025148	SRLV	A	A3
KF025149	SRLV	A	A3
KF025150	SRLV	A	A3
KF025151	SRLV	A	A3
KF025152	SRLV	A	A3
KF025153	SRLV	A	A3
KF025154	SRLV	A	A3
KF025155	SRLV	A	A3
KF025156	SRLV	A	A3
KF025157	SRLV	A	A3
KF025158	SRLV	A	A3
KF025159	SRLV	A	A3
KF025160	SRLV	A	A3
KF025161	SRLV	A	A3
KF025162	SRLV	A	A3
KF025163	SRLV	A	A3
KF025164	SRLV	A	A3
KF025165	SRLV	A	A3
KF025166	SRLV	A	A3
KF025167	SRLV	A	A3
KF025168	SRLV	A	A3
KF025169	SRLV	A	A3
KF025170	SRLV	A	A3
KF025171	SRLV	A	A3
KF025172	SRLV	A	A3
KF025173	SRLV	A	A3
KF025174	SRLV	A	A3
KF025175	SRLV	A	A3
KF025176	SRLV	A	A3
KF025177	SRLV	A	A3
KF025178	SRLV	A	A3
KF025179	SRLV	A	A3
KF025180	SRLV	A	A3
KF025181	SRLV	A	A3
KF025182	SRLV	A	A3
KF025183	SRLV	A	A3
KF025184	SRLV	A	A3
KF025185	SRLV	A	A3
KF025186	SRLV	A	A3
KF025187	SRLV	A	A3
KF025188	SRLV	A	A3
KF025189	SRLV	A	A3
KF025190	SRLV	A	A3
KF025191	SRLV	A	A3
KF025192	SRLV	A	A3
KF025193	SRLV	A	A3
KF025194	SRLV	A	A3
KF025195	SRLV	A	A3
KF025196	SRLV	A	A3
KF025197	SRLV	A	A3
KF861550	SRLV	BC	B1
KF861551	SRLV	BC	B1
KF861552	SRLV	BC	B1
KF861553	SRLV	BC	B1
KF861554	SRLV	BC	B1
KF861555	SRLV	BC	B1
KF861556	SRLV	BC	B1
KF861557	SRLV	BC	B1
KF861558	SRLV	BC	B1
KF861559	SRLV	BC	B1
KF861560	SRLV	BC	B1
KF861561	SRLV	BC	B1
KF861562	SRLV	BC	B1
KF861563	SRLV	BC	B1
KF861564	SRLV	BC	B1
KF861565	SRLV	BC	B1
KF861566	SRLV	BC	B1
KF861567	SRLV	BC	B1
KF861568	SRLV	BC	B1
KF861569	SRLV	BC	B1
KF861570	SRLV	BC	B1
KF861571	SRLV	BC	B1
KF861572	SRLV	BC	B1
KF861573	SRLV	A	A1
KF861574	SRLV	A	-
KF990530	SRLV	A	A4
KF990531	SRLV	A	A4
KF990532	SRLV	A	A4
KF990533	SRLV	A	A4
KF990534	SRLV	A	A4
KF990535	SRLV	A	A4
KF990536	SRLV	A	A4
KF990537	SRLV	A	A4
KF990538	SRLV	A	A4
KF990539	SRLV	A	A4
KF990540	SRLV	A	A4
KJ641269	SRLV	A	A3
KJ641270	SRLV	A	A3
KJ641271	SRLV	A	A3
KJ641272	SRLV	A	A3
KJ641273	SRLV	A	A3
KJ641274	SRLV	A	A3
KJ641275	SRLV	A	A3
KJ641276	SRLV	A	A3
KJ641277	SRLV	A	A3
KJ641278	SRLV	A	A3
KJ641279	SRLV	A	A3
KJ641280	SRLV	A	A3
KJ641281	SRLV	A	A3
KJ641282	SRLV	A	A3
KJ641283	SRLV	A	A3
KJ641284	SRLV	A	A3
KJ641285	SRLV	A	A3
KJ641286	SRLV	A	A3
KJ641287	SRLV	A	A3
KJ641288	SRLV	A	A3
KJ641289	SRLV	A	A3
KJ641290	SRLV	A	A3
KJ641291	SRLV	A	A3
KJ641292	SRLV	A	A3
KJ641293	SRLV	A	A3
KJ641294	SRLV	A	A3
KJ641295	SRLV	A	A3
KJ641296	SRLV	A	A3
KJ641297	SRLV	A	A3
KJ641298	SRLV	A	A3
KJ641299	SRLV	A	A3
KJ641300	SRLV	A	A3
KJ641301	SRLV	A	A3
KJ641302	SRLV	A	A3
KJ641303	SRLV	A	A3
KJ641304	SRLV	A	A3
KJ641305	SRLV	A	A3
KJ641306	SRLV	A	A3
KJ641307	SRLV	A	A3
KJ641308	SRLV	A	A3
KJ641309	SRLV	A	A3
KJ641310	SRLV	A	A3
KJ641313	SRLV	BC	B1
KJ641316	SRLV	BC	B1
KJ641318	SRLV	BC	B1
KJ641319	SRLV	BC	B1
KJ641322	SRLV	BC	B1
KJ641325	SRLV	BC	B1
KJ641327	SRLV	BC	B1
KJ641332	SRLV	BC	B1
KJ641333	SRLV	BC	B1
KJ641334	SRLV	BC	B1
KJ641335	SRLV	BC	B1
KJ641336	SRLV	BC	B1
KJ641337	SRLV	BC	B1
KJ641338	SRLV	BC	B1
KJ641339	SRLV	BC	B1
KJ641340	SRLV	BC	B1
KJ641341	SRLV	BC	B1
KJ641342	SRLV	BC	B1
KJ641343	SRLV	BC	B1
KJ641344	SRLV	BC	B1
KJ641345	SRLV	BC	B1
KJ641346	SRLV	BC	B1
KJ641347	SRLV	BC	B1
KJ641348	SRLV	BC	B1
KJ641349	SRLV	BC	B1
KJ641350	SRLV	BC	B1
KJ641351	SRLV	BC	B1
KJ641352	SRLV	BC	B1
KJ641353	SRLV	BC	B1
KJ641354	SRLV	BC	B1
KJ641355	SRLV	BC	B1
KJ641356	SRLV	BC	B1
KJ641357	SRLV	BC	B1
KJ641358	SRLV	BC	B1
KJ641359	SRLV	BC	B1
KJ641360	SRLV	BC	B1
KJ641361	SRLV	BC	B1
KJ641362	SRLV	BC	B1
KJ641363	SRLV	BC	B1
KJ641364	SRLV	BC	B1
KJ641365	SRLV	BC	B1
KJ641366	SRLV	BC	B1
KJ641367	SRLV	BC	B1
KJ641368	SRLV	BC	B1
KJ641369	SRLV	BC	B1
KJ641370	SRLV	BC	B1
KJ641371	SRLV	BC	B1
KJ641372	SRLV	BC	B1
KJ641373	SRLV	BC	B1
KJ641374	SRLV	BC	B1
KJ641375	SRLV	BC	B1
KJ641376	SRLV	BC	B1
KJ641377	SRLV	BC	B1
KJ641378	SRLV	BC	B1
KJ641379	SRLV	BC	B1
KJ641380	SRLV	BC	B1
KJ641381	SRLV	BC	B1
KJ641382	SRLV	BC	B1
KJ641383	SRLV	BC	B1
KJ641384	SRLV	BC	B1
KJ641385	SRLV	BC	B1
KJ641386	SRLV	BC	B1
KJ641387	SRLV	BC	B1
KJ641388	SRLV	BC	B1
KJ641389	SRLV	BC	B1
KJ641390	SRLV	BC	B1
KJ641391	SRLV	BC	B1
KJ641392	SRLV	BC	B1
KJ641393	SRLV	A	A3
KJ641394	SRLV	A	A3
KJ641395	SRLV	A	A3
KJ641396	SRLV	A	A3
KJ641397	SRLV	A	A3
KJ641398	SRLV	A	A3
KJ641399	SRLV	A	A3
KJ641400	SRLV	A	A3
KJ641401	SRLV	BC	B1
KJ641403	SRLV	BC	B1
KJ641404	SRLV	BC	B1
KJ641405	SRLV	BC	B1
KJ641406	SRLV	A	A3
KJ641407	SRLV	A	A3
KJ641409	SRLV	BC	B1
KJ641411	SRLV	BC	B1
KJ641412	SRLV	BC	B1
KJ641413	SRLV	BC	B1
KJ641414	SRLV	A	A3
KJ641415	SRLV	A	A3
KJ641416	SRLV	A	A3
KJ641417	SRLV	A	A3
KJ641418	SRLV	A	A3
KJ641419	SRLV	A	A3
KJ641422	SRLV	A	A3
KP120539	SRLV	A	A3
KP120540	SRLV	A	A3
KP120541	SRLV	A	A3
KP120542	SRLV	A	A3
KP120543	SRLV	A	A3
KP120544	SRLV	A	A3
KP120545	SRLV	A	A3
KP120546	SRLV	A	A3
KP120547	SRLV	A	A3
KP120548	SRLV	A	A3
KP120549	SRLV	A	A3
KP120550	SRLV	A	A3
KP120551	SRLV	A	A3
KP120552	SRLV	A	A3
KP120553	SRLV	A	A3
KP120554	SRLV	A	A3
KP120555	SRLV	A	A3
KP325714	SRLV	BC	B1
KP412530	SRLV	A	A1
KP412531	SRLV	A	A1
KP412532	SRLV	A	A1
KP412533	SRLV	A	A1
KP742804	SRLV	BC	B1
KP876016	SRLV	BC	B1
KP876017	SRLV	BC	B1
KP876018	SRLV	BC	B1
KP876019	SRLV	BC	B1
KP974987	SRLV	A	-
KP974988	SRLV	A	-
KP974989	SRLV	BC	B1
KP974990	SRLV	BC	B1
KP974991	SRLV	BC	B1
KP974992	SRLV	BC	B1
KP974993	SRLV	BC	B1
KP974994	SRLV	BC	B1
KP974995	SRLV	A	-
KP974996	SRLV	A	-
KP974997	SRLV	A	-
KP974998	SRLV	A	-
KP974999	SRLV	A	-
KP975000	SRLV	A	-
KP975001	SRLV	A	-
KP975002	SRLV	A	-
KP975003	SRLV	A	A3
KP975004	SRLV	A	-
KP975005	SRLV	A	A3
KP975006	SRLV	A	-
KP975007	SRLV	A	-
KP975008	SRLV	A	-
KP975009	SRLV	A	-
KP975010	SRLV	A	-
KP975011	SRLV	A	-
KP975012	SRLV	A	-
KP975013	SRLV	A	-
KP975014	SRLV	A	-
KP975015	SRLV	A	-
KP975016	SRLV	A	-
KP975017	SRLV	A	-
KP975018	SRLV	A	-
KP975019	SRLV	A	-
KP975020	SRLV	A	-
KP975021	SRLV	A	-
KP975022	SRLV	A	-
KP975023	SRLV	A	-
KP975024	SRLV	A	-
KP975025	SRLV	A	-
KP975026	SRLV	A	-
KP975027	SRLV	A	-
KP975028	SRLV	A	-
KP975029	SRLV	A	-
KP975030	SRLV	A	-
KP975031	SRLV	A	-
KP975032	SRLV	A	-
KP975033	SRLV	A	-
KP975034	SRLV	A	-
KP975035	SRLV	A	-
KP975036	SRLV	A	-
KP975037	SRLV	A	-
KP975038	SRLV	A	-
KP975039	SRLV	A	-
KP975040	SRLV	A	-
KP975041	SRLV	A	-
KP975042	SRLV	A	-
KP975043	SRLV	A	-
KP975044	SRLV	A	-
KP975045	SRLV	A	-
KP975046	SRLV	BC	B1
KP975047	SRLV	BC	B1
KP975048	SRLV	BC	B1
KP975049	SRLV	BC	B1
KP975050	SRLV	BC	B1
KP975051	SRLV	BC	B1
KP975052	SRLV	BC	B1
KP975053	SRLV	BC	B1
KP975054	SRLV	BC	B1
KP975055	SRLV	BC	B1
KP975056	SRLV	BC	B1
KP975057	SRLV	BC	B1
KP975058	SRLV	A	-
KP975059	SRLV	A	-
KP975060	SRLV	A	-
KP975061	SRLV	A	-
KP975062	SRLV	A	-
KP975063	SRLV	A	A1
KP975064	SRLV	A	-
KP975065	SRLV	A	-
KP975066	SRLV	A	-
KP975067	SRLV	A	-
KP975068	SRLV	A	-
KP975069	SRLV	A	-
KP975070	SRLV	A	-
KP975071	SRLV	A	-
KP975072	SRLV	A	-
KP975073	SRLV	A	-
KR011757	SRLV	A	A3
KT921318	SRLV	A	A0
KT921319	SRLV	A	-
KT921320	SRLV	A	-
KU170752	SRLV	A	A3
KU170753	SRLV	A	A3
KU170754	SRLV	A	A3
KU170755	SRLV	A	A3
KU170756	SRLV	A	A3
KU170757	SRLV	A	A3
KU170758	SRLV	A	A3
KU170759	SRLV	A	-
KU170760	SRLV	A	A0
KU170761	SRLV	A	-
KU170762	SRLV	A	A3
KU170763	SRLV	A	A3
KU170764	SRLV	A	A3
KU170765	SRLV	A	A3
KU170766	SRLV	A	A3
KX687990	SRLV	BC	B1
KX687991	SRLV	BC	B1
KX687992	SRLV	BC	B1
KY865002	SRLV	A	A3
KY865003	SRLV	A	A3
KY865004	SRLV	A	A3
KY865005	SRLV	A	A3
KY865006	SRLV	A	A3
KY865007	SRLV	A	A3
KY865008	SRLV	BC	B1
KY865009	SRLV	A	A3
KY865010	SRLV	A	A3
KY865011	SRLV	A	A3
KY865012	SRLV	A	A3
KY865013	SRLV	A	A3
KY865014	SRLV	A	A3
KY865015	SRLV	A	A3
KY865016	SRLV	A	A3
KY865017	SRLV	A	A3
KY865018	SRLV	BC	B2
KY865019	SRLV	BC	B1
KY865020	SRLV	A	A1
KY865021	SRLV	A	A3
KY865022	SRLV	A	A3
KY865023	SRLV	A	A3
KY865024	SRLV	BC	-
KY865025	SRLV	BC	B1
KY865026	SRLV	BC	B1
KY865027	SRLV	A	A3
KY865028	SRLV	A	A3
KY865029	SRLV	BC	-
KY865030	SRLV	A	A3
KY865031	SRLV	A	A3
KY865032	SRLV	BC	B2
KY865033	SRLV	A	A3
L06906	SRLV	A	A1
L19198	SRLV	A	A3
L19199	SRLV	-	-
L78448	SRLV	BC	C
LC002526	SRLV	BC	B1
LC208635	SRLV	BC	B1
LC208636	SRLV	BC	B1
LC208637	SRLV	BC	B1
LC208638	SRLV	BC	B1
LC208639	SRLV	BC	B1
LC208640	SRLV	BC	B1
LC208641	SRLV	BC	B1
LC208642	SRLV	BC	B1
LC208643	SRLV	BC	B1
LC208644	SRLV	BC	B1
LC208645	SRLV	BC	B1
LC208646	SRLV	BC	B1
LC208647	SRLV	BC	B1
LC208648	SRLV	BC	B1
LC208649	SRLV	BC	B1
LC208650	SRLV	BC	B1
LC208651	SRLV	BC	B1
LC208652	SRLV	BC	B1
LC208653	SRLV	BC	B1
LC208654	SRLV	BC	B1
LC208655	SRLV	BC	B1
LC208656	SRLV	BC	B1
LC208657	SRLV	BC	B1
